,Min,Max,Mean,Rms,Var,Std,Peak,P2p,CrestFactor,Skew,Kurtosis,FormFactor,PulseIndicator,Max_f,Sum_f,Mean_f,Var_f,Peak_f
38,-17312,25328,3339.008,10358.127060558134,96141821.77860267,9805.193612499586,25328,42640,2.4452297072551294,0.3961754533793062,1.6097618798460556,3.102157006080289,7.585486467837154,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
39,-12112,24752,5003.28,10396.397277518785,83052265.5936,9113.301574819085,24752,36864,2.3808247548911807,0.1654726052762792,1.6729735028247272,2.077916342383154,4.947154666538751,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
40,-12328,26064,5342.882666666666,10429.063692585254,80218974.31423289,8956.504581265668,26064,38392,2.4991697019293024,0.08879052198372685,1.7460477699232353,1.9519544678849872,4.878265465683693,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
41,-30392,32767,5635.7266666666665,10472.055539514038,77902532.16128889,8826.241111667463,32767,63159,3.128994100189863,-0.20229307378029113,2.3556643943411637,1.8581553291880797,5.8141570622658545,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
42,-23432,32344,5882.242666666667,10469.493129532744,75009507.59977956,8660.802941978276,32344,55776,3.0893568198409542,-0.33865434913884107,2.180563240679383,1.779847198222709,5.498583080104141,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
43,-19156,24092,6241.018666666667,10381.961050976834,68834801.26631822,8296.674108720808,24092,43248,2.3205635122020802,-0.42749379128983706,2.0753467339833214,1.6635042459377625,3.860267255516407,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
44,-17108,27340,6518.6106666666665,10453.072760867974,66774445.120419554,8171.563199316245,27340,44448,2.6154988705665354,-0.4372872664726339,2.100295518239238,1.6035737207501026,4.19414525549207,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
45,-25020,25020,6388.578666666666,10478.870558477824,68992790.80114488,8306.189908805654,25020,50040,2.3876619011919966,-0.5155259846194582,2.443200924999371,1.640250688803888,3.916364078060973,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
46,-13528,24600,6342.469333333333,10269.015987133334,65225772.09972623,8076.247402087571,24600,38128,2.3955557212904153,-0.47224471313850797,1.9866483723224084,1.6190879998684005,3.8786155213574016,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
47,-19348,27232,6351.898666666667,10334.284048479927,66450810.12306489,8151.736632341902,27232,46580,2.635112396006336,-0.47128288083218595,2.1668872555368077,1.6269598415843631,4.28722204636346,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
48,-21556,26736,6752.501333333334,10279.272929930405,60067177.711331554,7750.3017819522065,26736,48292,2.6009621674848376,-0.5955846470620895,2.754389259001093,1.522291136647003,3.959421654316346,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
49,-20552,24608,6508.061333333333,10391.641633543759,65631353.521571554,8101.318011383799,24608,45160,2.3680570277333723,-0.5709073251848584,2.410987800621045,1.5967338199963326,3.781156743861869,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
50,-15756,26588,6734.152,10504.869778155273,65003485.896896,8062.473931548306,26588,42344,2.53101662005267,-0.4566694084397153,2.3416538595102905,1.5599395110409258,3.948232828721419,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
51,-32768,32767,5665.775333333333,11017.938701015419,89293963.09152488,9449.548300925546,32768,65535,2.9740590222180203,-0.21564886154266052,3.2700199810513864,1.9446480054007471,5.783497945500369,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
52,-26276,32767,5856.402,10642.833690360227,78972464.57506266,8886.645293644991,32767,59043,3.078785307871417,-0.18035921345419062,2.3610878712371006,1.8172990328123353,5.595073562231555,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
